Breed Name,Image URL
Affenpinschers,API Error
Afghan Hounds,API Error
Airedale Terriers,API Error
Akitas,API Error
Alaskan Malamutes,API Error
American English Coonhounds,API Error
American Eskimo Dogs,API Error
American Foxhounds,API Error
American Hairless Terriers,API Error
American Staffordshire Terriers,API Error
Anatolian Shepherd Dogs,API Error
Australian Cattle Dogs,API Error
Australian Shepherds,API Error
Australian Terriers,API Error
Azawakh,API Error
Barbets,API Error
Basenjis,API Error
Basset Hounds,API Error
Beagles,API Error
Bearded Collies,API Error
Beaucerons,API Error
Bedlington Terriers,API Error
Belgian Laekenois,API Error
Belgian Malinois,API Error
Belgian Sheepdogs,API Error
Belgian Tervuren,API Error
Bergamasco,API Error
Berger Picards,API Error
Bernese Mountain Dogs,API Error
Bichons Frises,API Error
Biewer Terriers,API Error
Black and Tan Coonhounds,API Error
Black Russian Terriers,API Error
Bloodhounds,API Error
Bluetick Coonhounds,API Error
Boerboels,API Error
Border Collies,API Error
Border Terriers,API Error
Borzois,API Error
Boston Terriers,API Error
Bouviers des Flandres,API Error
Boxers,API Error
Bracco Italiano,API Error
Briards,API Error
Brittanys,API Error
Brussels Griffons,API Error
Bull Terriers,API Error
Bulldogs,API Error
Bullmastiffs,API Error
Cairn Terriers,API Error
Canaan Dogs,API Error
Cane Corso,API Error
Cardigan Welsh Corgis,API Error
Cavalier King Charles Spaniels,API Error
Cesky Terriers,API Error
Chihuahuas,API Error
Chinese Crested,API Error
Chinese Shar-Pei,API Error
Chinooks,API Error
Chow Chows,API Error
Cirnechi dell’Etna,API Error
Cocker Spaniels,API Error
Collies,API Error
Coton de Tulear,API Error
Dachshunds,API Error
Dalmatians,API Error
Dandie Dinmont Terriers,API Error
Doberman Pinschers,API Error
Dogo Argentino,API Error
Dogues de Bordeaux,API Error
English Foxhounds,API Error
English Toy Spaniels,API Error
Entlebucher Mountain Dogs,API Error
Finnish Lapphunds,API Error
Finnish Spitz,API Error
Fox Terriers (Smooth),API Error
Fox Terriers (Wire),API Error
French Bulldogs,API Error
German Pinschers,API Error
German Shepherd Dogs,API Error
Giant Schnauzers,API Error
Glen of Imaal Terriers,API Error
Grand Basset Griffon Vendeen,API Error
Great Danes,API Error
Great Pyrenees,API Error
Greater Swiss Mountain Dogs,API Error
Greyhounds,API Error
Harriers,API Error
Havanese,https://images.dog.ceo/breeds/havanese/00100trPORTRAIT_00100_BURST20191103202017556_COVER.jpg
Ibizan Hounds,API Error
Icelandic Sheepdogs,API Error
Irish Terriers,API Error
Irish Wolfhounds,API Error
Italian Greyhounds,API Error
Japanese Chin,API Error
Keeshonden,API Error
Kerry Blue Terriers,API Error
Komondorok,API Error
Kuvaszok,API Error
Lagotti Romagnoli,API Error
Lakeland Terriers,API Error
Leonbergers,API Error
Lhasa Apsos,API Error
Lowchen,API Error
Maltese,https://images.dog.ceo/breeds/maltese/n02085936_7198.jpg
Manchester Terriers,API Error
Mastiffs,API Error
Miniature American Shepherds,API Error
Miniature Bull Terriers,API Error
Miniature Pinschers,API Error
Miniature Schnauzers,API Error
Mudi,API Error
Neapolitan Mastiffs,API Error
Nederlandse Kooikerhondje,API Error
Newfoundlands,API Error
Norfolk Terriers,API Error
Norwegian Buhunds,API Error
Norwegian Elkhounds,API Error
Norwegian Lundehunds,API Error
Norwich Terriers,API Error
Old English Sheepdogs,API Error
Otterhounds,API Error
Papillons,API Error
Parson Russell Terriers,API Error
Pekingese,API Error
Pembroke Welsh Corgis,API Error
Petits Bassets Griffons Vendeens,API Error
Pharaoh Hounds,API Error
Plotts,API Error
Pointers,API Error
Pointers (German Shorthaired),API Error
Pointers (German Wirehaired),API Error
Polish Lowland Sheepdogs,API Error
Pomeranians,API Error
Poodles,API Error
Portuguese Podengo Pequenos,API Error
Portuguese Water Dogs,API Error
Pugs,API Error
Pulik,API Error
Pumik,API Error
Pyrenean Shepherds,API Error
Rat Terriers,API Error
Redbone Coonhounds,API Error
Retrievers (Chesapeake Bay),API Error
Retrievers (Curly-Coated),API Error
Retrievers (Flat-Coated),API Error
Retrievers (Golden),API Error
Retrievers (Labrador),API Error
Retrievers (Nova Scotia Duck Tolling),API Error
Rhodesian Ridgebacks,API Error
Rottweilers,API Error
Russell Terriers,API Error
Russian Toys,API Error
Salukis,API Error
Samoyeds,API Error
Schipperkes,API Error
Scottish Deerhounds,API Error
Scottish Terriers,API Error
Sealyham Terriers,API Error
Setters (English),API Error
Setters (Gordon),API Error
Setters (Irish Red and White),API Error
Setters (Irish),API Error
Shetland Sheepdogs,API Error
Shiba Inu,API Error
Shih Tzu,API Error
Siberian Huskies,API Error
Silky Terriers,API Error
Skye Terriers,API Error
Sloughis,API Error
Soft Coated Wheaten Terriers,API Error
Spaniels (American Water),API Error
Spaniels (Boykin),API Error
Spaniels (Clumber),API Error
Spaniels (English Cocker),API Error
Spaniels (English Springer),API Error
Spaniels (Field),API Error
Spaniels (Irish Water),API Error
Spaniels (Sussex),API Error
Spaniels (Welsh Springer),API Error
Spanish Water Dogs,API Error
Spinoni Italiani,API Error
St. Bernards,API Error
Staffordshire Bull Terriers,API Error
Standard Schnauzers,API Error
Swedish Vallhunds,API Error
Tibetan Mastiffs,API Error
Tibetan Terriers,API Error
Tibetan Spaniel,API Error
Toy Fox Terriers,API Error
Treeing Walker Coonhounds,API Error
Vizslas,API Error
Weimaraners,API Error
Welsh Terriers,API Error
West Highland White Terriers,API Error
Whippets,API Error
Wirehaired Pointing Griffons,API Error
Wirehaired Vizslas,API Error
Xoloitzcuintli,API Error
Yorkshire Terriers,API Error
